params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
"{'max_depth': 9, 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 60}",20.894178919500007,8.81781381596518,18.621586722750067,7.843453094943049,0.787443995475769,0.7868160009384155,0.7837679982185364,0.7822679877281189,0.78507399559021,0.002134876539033466,17,0.7882959842681885,0.7858880162239075,0.7846773266792297,0.7829920053482056,0.7854633331298828,0.0019319378449275196,9,6,8,60
"{'max_depth': 7, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 140}",24.786723373500024,8.65369493088133,15.966748871250047,2.595825968165412,0.7780960202217102,0.7781680226325989,0.7776200175285339,0.7774839997291565,0.7778420150279999,0.00029506670460391094,26,0.7784533500671387,0.7775800228118896,0.7782893180847168,0.7776880264282227,0.7780026793479919,0.00037513693163856093,7,7,5,140
"{'max_depth': 8, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 30}",16.791423951250067,6.8213259840764895,21.76886454649997,11.881760394043564,0.7814520001411438,0.7812280058860779,0.7811560034751892,0.7784240245819092,0.78056500852108,0.0012409076218264077,20,0.7820640206336975,0.7804773449897766,0.782045304775238,0.7790253162384033,0.7809029966592789,0.0012609230356816468,8,3,8,30
"{'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 3, 'n_estimators': 98}",24.113592328499976,4.578813857994225,14.793149228999937,1.511480302265605,0.7627159953117371,0.7626240253448486,0.7577120065689087,0.7618520259857178,0.761226013302803,0.0020563693285543623,47,0.7631466388702393,0.7619119882583618,0.7581586837768555,0.761846661567688,0.7612659931182861,0.0018672630610611456,4,7,3,98
"{'max_depth': 7, 'min_samples_leaf': 6, 'min_samples_split': 3, 'n_estimators': 274}",27.95767279400002,5.827950450161442,18.763197112250054,4.6035655708804635,0.777567982673645,0.7777040004730225,0.7773360013961792,0.777347981929779,0.7774889916181564,0.00015472405659344864,29,0.7779920101165771,0.7770360112190247,0.7778266668319702,0.7775013446807861,0.7775890082120895,0.00036482280756677305,7,6,3,274
"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 101}",21.848096995749927,5.29557700813481,10.586538675499924,2.69220984210604,0.7665320038795471,0.7670760154724121,0.7661679983139038,0.7663679718971252,0.7665359973907471,0.0003373764083784031,45,0.7666506767272949,0.7664960026741028,0.7669933438301086,0.7665039896965027,0.7666610032320023,0.00020151634194674728,5,5,3,101
"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 273}",24.97134730600004,4.215977908709439,10.105804437999893,3.8102095493394925,0.7904239892959595,0.7928159832954407,0.7931039929389954,0.7937999963760376,0.7925359904766083,0.0012707559439886138,9,0.791709303855896,0.7919866442680359,0.7940333485603333,0.7944239974021912,0.7930383235216141,0.0012023403693696545,10,4,8,273
"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 90}",23.635674458499977,5.026176935272748,12.276422075749963,5.876103004896395,0.7908040285110474,0.7909039855003357,0.789467990398407,0.7925840020179749,0.7909400016069412,0.0011055926230161771,13,0.7921306490898132,0.7905786633491516,0.7902506589889526,0.7933653593063354,0.7915813326835632,0.0012510533342581275,10,3,7,90
"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 11}",16.11626053299989,5.85218972874071,13.446032839999987,3.0545375477270365,0.7724360227584839,0.773252010345459,0.7757400274276733,0.7730839848518372,0.7736280113458633,0.0012568602051117722,34,0.7724639773368835,0.7728760242462158,0.7763266563415527,0.77347332239151,0.7737849950790405,0.0015106701896449152,7,2,9,11
"{'max_depth': 9, 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 115}",21.41650661624999,4.910810408754819,15.81065207224998,8.305622987514871,0.7870519757270813,0.7877799868583679,0.784555971622467,0.7851719856262207,0.7861399799585342,0.0013197967977563179,15,0.7879106402397156,0.7868613600730896,0.7853040099143982,0.7853626608848572,0.7863596677780151,0.0010915180948924963,9,6,7,115
"{'max_depth': 7, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 200}",37.44329441074996,4.505900730990216,9.381200712999998,1.528791755896033,0.7775999903678894,0.7774959802627563,0.7773079872131348,0.7773360013961792,0.7774349898099899,0.00011924070730303292,31,0.7780613303184509,0.7768226861953735,0.7778253555297852,0.7774653434753418,0.7775436788797379,0.00046724501968248565,7,6,6,200
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 171}",23.21726695250004,2.655148848758934,18.07269312249997,2.189101598859764,0.766219973564148,0.7674840092658997,0.7666199803352356,0.7664399743080139,0.7666909843683243,0.0004792669634236081,43,0.7663426399230957,0.7668520212173462,0.7671599984169006,0.7666813135147095,0.766758993268013,0.0002953149084827294,5,2,5,171
"{'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 5, 'n_estimators': 279}",32.590914155750056,7.002158762453622,14.26204517550002,8.108640441517455,0.7663760185241699,0.7667480111122131,0.7666119933128357,0.7664240002632141,0.7665400058031082,0.00014899456627030485,44,0.7665920257568359,0.7660639882087708,0.7670666575431824,0.7666333317756653,0.7665890008211136,0.0003555870396345086,5,6,5,279
"{'max_depth': 10, 'min_samples_leaf': 7, 'min_samples_split': 9, 'n_estimators': 224}",21.86264577700001,3.295789215667059,21.089603378000106,4.846420971310459,0.7913240194320679,0.792743980884552,0.7906720042228699,0.7926880121231079,0.7918570041656494,0.0008896065866231328,11,0.7926679849624634,0.7919506430625916,0.7914026379585266,0.7935213446617126,0.7923856526613235,0.0007945217279783205,10,7,9,224
"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 222}",23.19248183999997,2.2716333897770715,12.381079504500008,1.3325735192482466,0.777571976184845,0.7777559757232666,0.777180016040802,0.7770159840583801,0.7773809880018234,0.0002961038184205717,32,0.7780453562736511,0.7771613597869873,0.7777079939842224,0.7772693037986755,0.7775460034608841,0.0003535914380343912,7,1,7,222
"{'max_depth': 11, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 62}",24.43851823400007,3.0967574607310726,19.059011827750112,6.133694159529619,0.7958599925041199,0.7961480021476746,0.79448401927948,0.7962200045585632,0.7956780046224594,0.0007023856121757268,6,0.7978293299674988,0.7958653569221497,0.7960666418075562,0.7973973155021667,0.7967896610498428,0.0008407214665030878,11,5,3,62
"{'max_depth': 11, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 261}",27.839379290750003,5.545352743329173,14.008221439250008,2.312123867397222,0.7957680225372314,0.7972319722175598,0.7967320084571838,0.7970759868621826,0.7967019975185394,0.0005687598642898376,2,0.7976826429367065,0.796675980091095,0.7975266575813293,0.7984813451766968,0.7975916564464569,0.0006408027423397488,11,2,2,261
"{'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 50}",19.281742885749964,5.484628062338276,23.502279147250135,7.39500425615995,0.7792559862136841,0.7775959968566895,0.7777320146560669,0.7770479917526245,0.7779079973697662,0.0008192981478868742,25,0.7797880172729492,0.777018666267395,0.7784813046455383,0.7773439884185791,0.7781579941511154,0.0010865286941380775,7,4,6,50
