params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score,param_learning_rate,param_max_depth,param_n_estimators,param_subsample
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 154, 'subsample': 0.5}",10.805493348000255,0.32674064892340093,0.10456752575009887,0.00884642574490321,0.947564,0.948312,0.947996,0.947008,0.94772,0.0004893669379923647,21,0.950348,0.950136,0.9503013333333333,0.9496546666666666,0.95011,0.0002744343677862209,0.2,7,154,0.5
"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 150, 'subsample': 1.0}",14.494500637999408,0.5497269985086893,0.11029378825014646,0.015238717727780595,0.949244,0.949364,0.949576,0.94788,0.949016,0.0006665553240354616,15,0.9531213333333334,0.952536,0.9532853333333333,0.951904,0.9527116666666666,0.0005431630612542814,0.2,8,150,1.0
"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 266, 'subsample': 0.7}",9.677560052000445,0.8525561229428278,0.10584163175008143,0.006624852718110901,0.931188,0.931532,0.930812,0.930688,0.931055,0.0003312687730529669,45,0.9321946666666666,0.9313813333333333,0.931228,0.931252,0.931514,0.00039728691003969275,0.1,4,266,0.7
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 113, 'subsample': 0.7}",8.824302778999936,0.44976250330955697,0.0992268067502664,0.0020671905681805174,0.921292,0.926284,0.9262,0.924112,0.924472,0.002031706671741767,47,0.9227773333333333,0.92692,0.927316,0.925108,0.9255303333333333,0.0017942375353707546,0.1,7,113,0.7
"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 189, 'subsample': 0.5}",6.701997111500077,0.6830791074204189,0.0999626055004228,0.019724988255107916,0.93282,0.93444,0.932796,0.930972,0.932757,0.0012272126955014848,43,0.9334893333333333,0.934432,0.932764,0.9316,0.9330713333333334,0.0010350619949226984,0.15,4,189,0.5
"{'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 191, 'subsample': 1.0}",13.761988930999905,0.8606249109106793,0.11545654450037546,0.02141191870887377,0.946988,0.948276,0.947644,0.946696,0.947401,0.0006107921086589153,23,0.949284,0.9499813333333333,0.949904,0.9491933333333333,0.9495906666666667,0.0003545124978207483,0.15,7,191,1.0
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 107, 'subsample': 1.0}",8.226323128249533,0.2843937488952034,0.104600394749923,0.020838912454531563,0.944876,0.946044,0.94546,0.943248,0.944907,0.0010430508137190674,29,0.9471053333333334,0.9473573333333334,0.947304,0.9453773333333333,0.9467859999999999,0.0008186973392734275,0.2,7,107,1.0
"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 180, 'subsample': 0.7}",23.343974906250423,2.325096492148789,0.11961482824926861,0.014363292113125958,0.94956,0.949924,0.950004,0.94858,0.949517,0.0005662676045828486,12,0.9561906666666666,0.9556413333333333,0.956436,0.9550546666666667,0.9558306666666667,0.0005324592837850118,0.2,9,180,0.7
"{'learning_rate': 0.15, 'max_depth': 9, 'n_estimators': 233, 'subsample': 0.7}",24.877581965500212,8.156099649553015,0.09881597300045541,0.02403909431660833,0.94994,0.950276,0.950416,0.949076,0.949927,0.0005208867439280808,5,0.9563866666666667,0.955516,0.9564226666666666,0.95538,0.9559263333333333,0.00048091244294338586,0.15,9,233,0.7
"{'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 153, 'subsample': 0.5}",10.501100799500364,0.3014745194914831,0.09511420424951211,0.0069068944070138135,0.945708,0.946344,0.945544,0.944284,0.94547,0.0007470930330286702,27,0.9477293333333333,0.9474893333333333,0.9475266666666666,0.9466106666666667,0.9473389999999999,0.00043030467242534593,0.15,7,153,0.5
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 143, 'subsample': 0.7}",6.615203834499425,0.42824091293178806,0.09585202550078975,0.009987510440161067,0.94198,0.94246,0.942096,0.940456,0.941748,0.0007666707246269589,37,0.943144,0.9429733333333333,0.9428706666666666,0.94164,0.942657,0.0005952264741722522,0.2,5,143,0.7
"{'learning_rate': 0.15, 'max_depth': 9, 'n_estimators': 113, 'subsample': 1.0}",16.006876047749756,1.1975097050195682,0.1197091447497769,0.039337736719692304,0.945412,0.946684,0.9463,0.945736,0.946033,0.0004921737498079126,25,0.9493853333333333,0.9498746666666666,0.9501466666666667,0.9495173333333333,0.9497310000000001,0.0002993984710122196,0.15,9,113,1.0
"{'learning_rate': 0.2, 'max_depth': 11, 'n_estimators': 289, 'subsample': 0.5}",80.67072682174967,1.9785771853178675,0.12491450400011672,0.012001098225707049,0.950316,0.950716,0.950704,0.949232,0.950242,0.0006049165231666428,2,0.971088,0.9705666666666667,0.9707346666666666,0.9700466666666666,0.9706089999999999,0.0003752479180488561,0.2,11,289,0.5
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 210, 'subsample': 0.5}",9.314095788999566,0.7110870936937319,0.11073051200037298,0.018239305328340012,0.930812,0.932604,0.933204,0.930532,0.931788,0.0011402876829993455,44,0.9315093333333333,0.9329693333333333,0.9337666666666666,0.93142,0.9324163333333333,0.0009930430783986822,0.1,5,210,0.5
"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 287, 'subsample': 0.5}",10.099624755750028,0.6784568233029729,0.12237583200021618,0.01452305147951163,0.943292,0.944492,0.944236,0.941736,0.943439,0.0010800273144693927,33,0.9440653333333333,0.9446,0.9446813333333334,0.9427693333333333,0.944029,0.0007647973587820514,0.15,4,287,0.5
"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 114, 'subsample': 0.5}",11.969666124000014,0.8530066794488241,0.10043466050046845,0.024379620548640953,0.932064,0.933368,0.93418,0.933624,0.933309,0.0007764296490990044,42,0.9345866666666667,0.93478,0.936344,0.9355093333333333,0.935305,0.0006915383013414205,0.1,8,114,0.5
"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 170, 'subsample': 0.5}",6.189083859499988,0.3367593936653164,0.1001012480001009,0.011213265515466713,0.91052,0.914484,0.913084,0.909204,0.911823,0.0020753320216292965,49,0.911184,0.913972,0.9134053333333333,0.9095413333333333,0.9120256666666666,0.0017728514069461987,0.1,4,170,0.5
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 235, 'subsample': 1.0}",17.020617220749955,1.3930695143961012,0.09820492499966349,0.009369083376126668,0.945684,0.946064,0.946228,0.94474,0.945679,0.0005769254717898839,26,0.9479426666666667,0.9471306666666667,0.947768,0.9468946666666667,0.947434,0.00043393240641066846,0.1,7,235,1.0
"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 180, 'subsample': 1.0}",9.345386869749746,0.2853858625854008,0.11330327624955316,0.01696383120015685,0.94856,0.948996,0.947916,0.946572,0.948011,0.0009153376426215561,19,0.950224,0.9501386666666667,0.9496613333333334,0.9485,0.949631,0.0006872873408472444,0.2,6,180,1.0
"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 222, 'subsample': 0.5}",7.679936888750035,0.43376859750820973,0.1037794879998728,0.010288632714264763,0.94356,0.944784,0.94468,0.94366,0.944171,0.0005633142994811847,31,0.944488,0.944732,0.9450133333333334,0.944692,0.9447313333333333,0.00018727163871412372,0.2,4,222,0.5
"{'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 140, 'subsample': 1.0}",26.878035492750314,1.1362026133294292,0.1054327239999111,0.0071731248995650365,0.94886,0.948756,0.949148,0.947904,0.948667,0.0004633303357217347,17,0.955592,0.954428,0.9557346666666666,0.954352,0.9550266666666667,0.0006392266160499271,0.15,10,140,1.0
"{'learning_rate': 0.1, 'max_depth': 11, 'n_estimators': 111, 'subsample': 0.7}",30.425168955499885,1.0600850715005958,0.11546763299929808,0.022237774262169774,0.942968,0.943748,0.944124,0.942612,0.943363,0.0006015338726954488,34,0.9490813333333333,0.9488746666666666,0.9494666666666667,0.948184,0.9489016666666666,0.0004656392261063103,0.1,11,111,0.7
